0.330   1.54393	1.002586E-06
0.33331 1.5431	8.71E-07
1.780	1.4977	0
1.785	1.4976	0
1.790	1.4975	0
1.795	1.4974	0
1.800	1.4974	0
1.805	1.4973	0
1.810	1.4972	0
1.815	1.4972	0
1.820	1.4971	0
1.825	1.497	0
1.830	1.497	0
1.835	1.4969	0
1.840	1.4968	0
1.845	1.4968	0
1.850	1.4967	0
1.855	1.4966	0
1.860	1.4965	0
1.865	1.4965	0
1.870	1.4964	0
1.875	1.4963	0
1.880	1.4963	0
1.885	1.4962	0
1.890	1.4961	0
1.895	1.496	0
1.900	1.496	0
1.905	1.4959	0
1.910	1.4958	0
1.915	1.4958	0
1.920	1.4957	0
1.925	1.4956	0
1.930	1.4955	0
1.935	1.4955	0
1.940	1.4954	0
1.945	1.4953	0
1.950	1.4952	0
1.955	1.4952	0
1.960	1.4951	0
1.965	1.495	0
1.970	1.495	0
1.975	1.4949	0
1.980	1.4948	0
1.985	1.4947	0
1.990	1.4947	0
1.995	1.4946	0
2.000	1.4945	0
2.005	1.4944	0
2.010	1.4944	0
2.015	1.4943	0
2.020	1.4942	0
2.025	1.4941	0
2.030	1.494	0
2.035	1.494	0
2.040	1.4939	0
2.045	1.4938	0
2.050	1.4937	0
2.055	1.4937	0
2.060	1.4936	0
2.065	1.4935	0
2.070	1.4934	0
2.075	1.4934	0
2.080	1.4933	0
2.085	1.4932	0
2.090	1.4931	0
2.095	1.493	0
2.100	1.493	0
2.105	1.4929	0
2.110	1.4928	0
2.115	1.4927	0
2.120	1.4926	0
2.125	1.4926	0
2.130	1.4925	0
2.135	1.4924	0
2.140	1.4923	0
2.145	1.4922	0
2.150	1.4922	0
2.155	1.4921	0
2.160	1.492	0
2.165	1.4919	0
2.170	1.4918	0
2.175	1.4918	0
2.180	1.4917	0
2.185	1.4916	0
2.190	1.4915	0
2.195	1.4914	0
2.200	1.4913	0
2.205	1.4913	0
2.210	1.4912	0
2.215	1.4911	0
2.220	1.491	0
2.225	1.4909	0
2.230	1.4908	0
2.235	1.4908	0
2.240	1.4907	0
2.245	1.4906	0
2.250	1.4905	0
2.255	1.4904	0
2.260	1.4903	0
2.265	1.4903	0
2.270	1.4902	0
2.275	1.4901	0
2.280	1.49	0
2.285	1.4899	0
2.290	1.4898	0
2.295	1.4897	0
2.300	1.4897	0
2.305	1.4896	0
2.310	1.4895	0
2.315	1.4894	0
2.320	1.4893	0
2.325	1.4892	0
2.330	1.4891	0
2.335	1.489	0
2.340	1.489	0
2.345	1.4889	0
2.350	1.4888	0
2.355	1.4887	0
2.360	1.4886	0
2.365	1.4885	0
2.370	1.4884	0
2.375	1.4883	0
2.380	1.4882	0
2.385	1.4882	0
2.390	1.4881	0
2.395	1.488	0
2.400	1.4879	0
2.405	1.4878	0
2.410	1.4877	0
2.415	1.4876	0
2.420	1.4875	0
2.425	1.4874	0
2.430	1.4873	0
2.435	1.4872	0
2.440	1.4871	0
2.445	1.4871	0
2.450	1.487	0
2.455	1.4869	0
2.460	1.4868	0
2.465	1.4867	0
2.470	1.4866	0
2.475	1.4865	0
2.480	1.4864	0
2.485	1.4863	0
2.490	1.4862	0
2.495	1.4861	0
2.500	1.486	0
