#Glass materials Database#Name: Glass name
#LambdaMin, LambdaMax: wavelength range (um)
#K1,L1,K2,L2,K3,L3: Sellmeier1 coeficients.
#Name                       LambdaMin	LambdaMax		K1		L1		K2		L2	      K3               L3			
P-SF69                     0.365000	2.500000	1.625946470E+00	1.216966770E-02	2.359276090E-01	6.007104050E-02	1.674346230E+00	1.456519080E+02
P-SF8                      0.365000	2.500000	1.553704110E+00	1.165826700E-02	2.063325610E-01	5.820877570E-02	1.397088310E+00	1.307480280E+02
P-SK57                     0.320000	2.500000	1.310534140E+00	7.408772350E-03	1.693761890E-01	2.545634890E-02	1.109877140E+00	1.077510870E+02
P-SK57Q1                   0.310000	2.500000	1.305364830E+00	7.364088310E-03	1.714343280E-01	2.557860470E-02	1.101172190E+00	1.067260600E+02
P-SK58A                    0.320000	2.500000	1.316784100E+00	7.207174980E-03	1.711547560E-01	2.456595950E-02	1.125014730E+00	1.027397280E+02
P-SK60                     0.300000	2.500000	1.407904420E+00	7.843823780E-03	1.433814170E-01	2.877693650E-02	1.165139470E+00	1.053733970E+02
SF1                        0.350000	2.500000	1.559129230E+00	1.214810010E-02	2.842462880E-01	5.345490420E-02	9.688429260E-01	1.121748090E+02
SF10                       0.380000	2.500000	1.616259770E+00	1.275345590E-02	2.592293340E-01	5.819839540E-02	1.077623170E+00	1.166076800E+02
SF11                       0.390000	2.500000	1.738484030E+00	1.360686040E-02	3.111689740E-01	6.159604630E-02	1.174908710E+00	1.219227110E+02
SF2                        0.350000	2.500000	1.403018210E+00	1.057954660E-02	2.317675040E-01	4.932269780E-02	9.390565860E-01	1.124059550E+02
SF3                        0.365000	2.325000	1.572305420E+00	1.203821830E-02	3.396611490E-01	5.316035830E-02	1.035937120E+00	1.200053810E+02
SF4                        0.365000	2.500000	1.619578260E+00	1.255021040E-02	3.394931890E-01	5.445598220E-02	1.025669310E+00	1.176522220E+02
SF5                        0.350000	2.500000	1.461418850E+00	1.118261260E-02	2.477130190E-01	5.085946690E-02	9.499958320E-01	1.120418880E+02
SF56A                      0.370000	2.500000	1.705792590E+00	1.338746990E-02	3.442230520E-01	5.795616080E-02	1.096018280E+00	1.216160240E+02
SF57                       0.370000	2.500000	1.816513710E+00	1.437041980E-02	4.288936410E-01	5.928011720E-02	1.071862780E+00	1.214199420E+02
SF57HTULTRA                0.370000	2.500000	1.816513710E+00	1.437041980E-02	4.288936410E-01	5.928011720E-02	1.071862780E+00	1.214199420E+02
SF6                        0.365000	2.500000	1.724484820E+00	1.348719470E-02	3.901048890E-01	5.693180950E-02	1.045728580E+00	1.185571850E+02
SF6G05                     0.460000	2.500000	1.621139420E+00	1.134789920E-02	5.065860920E-01	5.358402230E-02	1.040322980E+01	1.118836580E+03
SF6HT                      0.365000	2.500000	1.724484820E+00	1.348719470E-02	3.901048890E-01	5.693180950E-02	1.045728580E+00	1.185571850E+02
REALVIEW_1.9_LIGHTWEIGHT   0.380000	2.500000	1.990852410E+00	1.480939070E-02	5.026238660E-01	6.489627680E-02	2.896720100E+00	2.014940960E+02
